Cell line	TCGA classification	Tissue	Tissue sub-type	IC50	AUC
K052	UNCLASSIFIED	blood	acute_myeloid_leukaemia	0.0344	0.782
RH-1	UNCLASSIFIED	soft_tissue	rhabdomyosarcoma	0.0345	0.777
ES6	UNCLASSIFIED	bone	ewings_sarcoma	0.0346	0.73
NCI-H82	SCLC	lung	lung_small_cell_carcinoma	0.0346	0.76
P32-ISH	UNCLASSIFIED	blood	Burkitt_lymphoma	0.0349	0.795
KM-H2	UNCLASSIFIED	blood	Hodgkin_lymphoma	0.0351	0.778
MMAc-SF	SKCM	skin	melanoma	0.0359	0.753
MZ2-MEL	SKCM	skin	melanoma	0.036	0.741
DU-4475	BRCA	breast	breast	0.0372	0.792
NKM-1	LAML	blood	acute_myeloid_leukaemia	0.0381	0.763
HSC-39	STAD	digestive_system	stomach	0.0383	0.788
NEC8	UNCLASSIFIED	urogenital_system	testis	0.0385	0.79
OPM-2	MM	blood	myeloma	0.0387	0.798
CAL-148	BRCA	breast	breast	0.0388	0.78
LB373-MEL-D	SKCM	skin	melanoma	0.0398	0.774
UACC-257	SKCM	skin	melanoma	0.0403	0.748
GB-1	GBM	nervous_system	glioma	0.0408	0.755
SBC-1	SCLC	lung	lung_small_cell_carcinoma	0.0409	0.78
HEL	LAML	blood	acute_myeloid_leukaemia	0.0412	0.804
RPMI-8866	LCML	blood	chronic_myeloid_leukaemia	0.0417	0.789
L-540	UNCLASSIFIED	blood	Hodgkin_lymphoma	0.0423	0.797
TC-71	UNCLASSIFIED	bone	ewings_sarcoma	0.0431	0.81
NCI-H1581	UNCLASSIFIED	lung	lung_NSCLC_large_cell	0.0439	0.797
EJM	MM	blood	lymphoid_neoplasm_other	0.0443	0.812
IST-SL2	SCLC	lung	lung_small_cell_carcinoma	0.0448	0.788
LOXIMVI	SKCM	skin	melanoma	0.0449	0.804
NB17	NB	nervous_system	neuroblastoma	0.0462	0.773
SW872	UNCLASSIFIED	soft_tissue	soft_tissue_other	0.0469	0.807
LU-134-A	SCLC	lung	lung_small_cell_carcinoma	0.0473	0.786
HCC2218	BRCA	breast	breast	0.0481	0.766
TF-1	UNCLASSIFIED	blood	acute_myeloid_leukaemia	0.0487	0.798
HH	UNCLASSIFIED	blood	T_cell_leukemia	0.049	0.763
KARPAS-299	UNCLASSIFIED	blood	anaplastic_large_cell_lymphoma	0.0491	0.827
GI-ME-N	NB	nervous_system	neuroblastoma	0.0493	0.76
KARPAS-422	DLBC	blood	B_cell_lymphoma	0.0494	0.801
CGTH-W-1	THCA	thyroid	thyroid	0.0496	0.8
TALL-1	ALL	blood	lymphoblastic_T_cell_leukaemia	0.0504	0.808
SUP-HD1	UNCLASSIFIED	blood	Hodgkin_lymphoma	0.054	0.817
EM-2	LCML	blood	chronic_myeloid_leukaemia	0.0541	0.793
LB996-RCC	KIRC	kidney	kidney	0.0559	0.793
JM1	DLBC	blood	B_cell_lymphoma	0.0563	0.839
GR-ST	ALL	blood	lymphoblastic_leukemia	0.0563	0.789
CTB-1	DLBC	blood	B_cell_lymphoma	0.0567	0.775
HT	DLBC	blood	B_cell_lymphoma	0.057	0.829
COR-L88	SCLC	lung	lung_small_cell_carcinoma	0.0579	0.794
EW-24	UNCLASSIFIED	bone	ewings_sarcoma	0.0584	0.839
NCI-H2141	SCLC	lung	lung_small_cell_carcinoma	0.0587	0.823
K5	THCA	thyroid	thyroid	0.0592	0.827
NCI-H1836	SCLC	lung	lung_small_cell_carcinoma	0.0603	0.809
NCI-H220	UNCLASSIFIED	lung	lung_small_cell_carcinoma	0.0609	0.812
NCI-H748	SCLC	lung	lung_small_cell_carcinoma	0.0611	0.791
NCI-H209	SCLC	lung	lung_small_cell_carcinoma	0.0621	0.816
MS-1	SCLC	lung	lung_small_cell_carcinoma	0.0626	0.845
NCI-H1304	SCLC	lung	lung_small_cell_carcinoma	0.0627	0.815
LB2518-MEL	SKCM	skin	melanoma	0.0643	0.821
MLMA	UNCLASSIFIED	blood	hairy_cell_leukaemia	0.0654	0.83
LU-65	UNCLASSIFIED	lung	lung_NSCLC_large_cell	0.0656	0.808
ES-2	UNCLASSIFIED	urogenital_system	ovary	0.0684	0.858
Toledo	UNCLASSIFIED	blood	B_cell_lymphoma	0.0726	0.822
MDST8	COREAD	digestive_system	large_intestine	0.073	0.844
IST-MES1	MESO	lung	mesothelioma	0.0731	0.841
SCLC-21H	UNCLASSIFIED	lung	lung_small_cell_carcinoma	0.0746	0.835
D-247MG	GBM	nervous_system	glioma	0.0762	0.804
A3-KAW	DLBC	blood	B_cell_lymphoma	0.0765	0.89
LU-139	SCLC	lung	lung_small_cell_carcinoma	0.0768	0.814
SK-N-DZ	NB	nervous_system	neuroblastoma	0.0769	0.85
SF126	GBM	nervous_system	glioma	0.0778	0.841
WSU-DLCL2	DLBC	blood	B_cell_lymphoma	0.0792	0.885
D-263MG	GBM	nervous_system	glioma	0.0795	0.824
NB4	LAML	blood	acute_myeloid_leukaemia	0.08	0.889
NB69	NB	nervous_system	neuroblastoma	0.08	0.873
SIMA	NB	nervous_system	neuroblastoma	0.0801	0.834
DND-41	ALL	blood	T_cell_leukemia	0.0815	0.876
